Cycle	11350 mV	11300 mV	11250 mV	11200 mV	11150 mV	11100 mV	11050 mV	11000 mV	10950 mV	10900 mV	10850 mV	10800 mV	DCHG Capacity	CHG Capacity
235	600	1245	1935	2655	3375	4020	4680	5220	5655	6165	6855	7065	1920.979126	1929.187500	
236	585	1230	1935	2640	3375	4020	4665	5220	5640	6150	6855	7065	1921.270874	1929.770874	
237	600	1230	1920	2655	3360	4005	4665	5220	5640	6150	6840	7050	1923.058350	1930.958374	
238	600	1230	1920	2655	3375	4020	4680	5220	5640	6165	6840	7065	1921.279175	1934.349976	
239	585	1230	1905	2640	3360	4005	4650	5205	5625	6135	6825	7050	1921.245850	1936.204224	
240	600	1230	1920	2655	3360	4005	4680	5220	5640	6150	6840	7065	1923.474976	1929.916626	
241	585	1230	1920	2640	3360	4005	4665	5220	5640	6135	6840	7065	1921.279175	1937.687500	
242	585	1230	1920	2640	3375	4020	4665	5220	5640	6150	6840	7065	1917.112549	1929.716675	
243	585	1230	1920	2655	3360	4005	4665	5220	5640	6135	6840	7050	1921.887451	1928.437500	
244	585	1230	1920	2640	3360	4005	4665	5205	5625	6135	6840	7050	1919.854126	1927.658325	
245	585	1215	1905	2625	3345	4005	4635	5190	5625	6120	6825	7050	1918.000000	1932.845825	
246	585	1245	1920	2640	3375	4005	4665	5205	5625	6135	6840	7050	1917.495850	1922.570801	
247	585	1215	1905	2640	3345	3990	4650	5205	5625	6120	6825	7050	1917.758301	1925.187500	
248	585	1230	1920	2640	3345	4005	4650	5205	5625	6120	6825	7050	1914.029175	1923.866699	
249	585	1230	1920	2640	3360	3990	4650	5205	5625	6120	6825	7050	1915.695801	1922.566650	
250	585	1230	1920	2625	3345	3990	4650	5205	5625	6120	6825	7050	1922.187500	1923.087524	
251	585	1230	1905	2640	3360	4005	4650	5205	5625	6135	6825	7050	1913.945801	1930.208374	
252
253	585	1230	1905	2625	3345	3990	4635	5190	5625	6105	6825	7035	1914.025024	1923.379150	
254	585	1245	1920	2640	3360	4005	4650	5205	5625	6120	6825	7050	1920.004150	1928.329224	
255	600	1230	1920	2640	3360	3990	4650	5190	5625	6120	6825	7050	1917.841675	1943.229126	
256	585	1230	1920	2640	3345	3990	4635	5205	5625	6120	6810	7035	1911.754150	1925.345825	
257	600	1230	1905	2625	3345	3990	4635	5190	5625	6105	6810	7050	1914.495850	1921.204224	
258	570	1215	1905	2625	3345	3975	4635	5190	5610	6090	6810	7035	1918.712524	1926.445801	
259	585	1215	1905	2625	3345	3990	4635	5190	5625	6090	6810	7035	1903.479126	1920.137451	
260	585	1230	1905	2640	3345	3990	4650	5205	5625	6105	6825	7050	1912.550049	1919.425049	
261	585	1230	1905	2625	3330	3990	4635	5190	5610	6090	6810	7035	1912.879150	1913.949951	
262	585	1215	1905	2625	3330	3990	4635	5190	5610	6090	6810	7035	1913.033325	1929.974976	
263	585	1230	1905	2625	3345	3990	4635	5190	5625	6090	6810	7035	1914.658325	1924.383301	
264	585	1230	1920	2625	3345	3990	4635	5190	5610	6090	6810	7035	1918.433350	1929.216675	
265	585	1230	1905	2640	3345	3990	4650	5190	5625	6105	6810	7035	1913.870850	1933.904175	
266	585	1215	1905	2625	3345	3975	4635	5190	5610	6090	6810	7035	1910.429199	1924.625000	
267	600	1230	1905	2625	3345	3990	4635	5190	5625	6105	6810	7035	1910.583374	1916.875000	
